이름,위치검색(주소),지역,종류,예상비용,가까운역
유니버설 스튜디오 재팬,USJ 大阪,오사카,체험(테마파크),"8,900~10,900(다이내믹)",JR 유니버설시티역 도보5분
해유관 카이유칸,海遊館 大阪,오사카,관광(수족관),"2,700~3,500(다이내믹)",메트로 주오선 오사카코역 도보5분
덴포잔 대관람차,덴포잔 대관람차 오사카,오사카,야경/체험,800,메트로 주오선 오사카코역 도보5분
우메다 스카이빌딩 공중정원 전망대,우메다 스카이빌딩 공중정원 전망대 오사카,오사카,야경/관광,"2,000",JR 오사카역 도보7~9분
HEP FIVE 관람차,HEP FIVE 관람차 오사카,오사카,야경/쇼핑,"1,000",JR 오사카역 도보 수분
닌텐도 OSAKA,닌텐도 OSAKA 오사카,오사카,덕질(쇼핑),0(굿즈별도),JR 오사카역 도보5분(다이마루우메다13F)
포켓몬센터 오사카,포켓몬센터 오사카 오사카,오사카,덕질(쇼핑),0(굿즈별도),JR 오사카역 도보5분(다이마루우메다13F)
포켓몬센터 DX + 점프숍,포켓몬센터 DX + 점프숍 오사카,오사카,덕질(쇼핑),0(카페 별도·예약),미도스지선 신사이바시역(다이마루9F)
요도바시 우메다,LINKS UMEDA 大阪,오사카,덕질(전자/애니/게임센터),0,JR 오사카역 도보3분
덴덴타운·오타로드,덴덴타운·오타로드 오사카,오사카,덕질(쇼핑거리),0,사카이스지선 닛폰바시역/에비스초역
애니메이트 오사카 닛폰바시,애니메이트 오사카 닛폰바시 오사카,오사카,덕질(쇼핑),0,난바역 도보10분/닛폰바시역
만다라케 그랜드 카오스,만다라케 그랜드 카오스 오사카,오사카,덕질(중고쇼핑),0,에비스초역 도보6분
도톤보리,글리코 사인 大阪,오사카,관광/야경,0,미도스지선 난바역 14번출구
돈키호테 + 에비스타워 관람차,돈키호테 + 에비스타워 관람차 오사카,오사카,쇼핑/야경,매장0/관람차600,난바역/닛폰바시역
GiGO 도톤보리,게임센터 大阪,오사카,덕질(체험),0(크레인1회100~200),난바역/닛폰바시역
통천각,쓰텐카쿠 大阪,오사카,관광/야경,"1,500(슬라이더 별도1,100)",사카이스지선 에비스초역
다이소·세리아 100엔샵,다이소·세리아 100엔샵 오사카,오사카,쇼핑,0(1점110~),미도스지선 신사이바시역·난바역
후시미 이나리 타이샤,후시미 이나리 타이샤 교토,교토,관광(하이킹),0,JR 이나리역 도보2분/케이한 후시미이나리역
아라시야마 대나무숲 + 도게츠교,아라시야마 대나무숲 + 도게츠교 교토,교토,관광,0(텐류지정원 별도~500),JR 사가아라시야마역/란덴 아라시야마역
기요미즈데라,清水寺 京都,교토,관광/야경(시즌),500,케이한 기요미즈고조역 도보20~25분/버스#206
기온·하나미코지,기온·하나미코지 교토,교토,야경/거리산책,0,케이한 기온시조역 도보3~5분
애니메이트 아반티 교토,애니메이트 아반티 교토 교토,교토,덕질(쇼핑),0,교토역 하치조구치 도보1~2분(AVANTI6F)
나라공원,나라공원 나라,나라,관광/체험(사슴),0(센베이200),킨테츠 나라역 도보8분(JR나라역 도보20분)
도다이지 대불전,東大寺 奈良,나라,관광(세계유산),"800(공통권1,200)",킨테츠 나라역 도보15~20분
기타노 이진칸 거리,기타노 이진칸 거리 고베,고베,관광(건축산책),"거리0/2관패스650/7관3,000~",신코베역 도보10분/산노미야역 도보15분
고베 하버랜드 우미에 모자이크,고베 하버랜드 우미에 모자이크 고베,고베,쇼핑/야경,0,JR 고베역 도보5분/하버랜드역
모자이크 대관람차,모자이크 대관람차 고베,고베,야경/체험,800,JR 고베역·하버랜드역
고베 포트타워,고베 포트타워 고베,고베,야경/전망대,"1,000(루프탑포함1,200)",메트로 카이간선 미나토모토마치역 도보5분
산노미야 오타쿠·게임센터,애니메이트·센터플라자·GiGO 神戸,고베,덕질(쇼핑/게임센터),0,산노미야역 도보1~5분
시라히게 신사,白鬚神社 滋賀,시가,관광(호수 위 도리이),0(무료),JR 코세이선 오미타카시마역(자전거15분/택시5분)
비와코 테라스(비와코밸리),びわ湖テラス 滋賀,시가,전망대/관광,"로프웨이 왕복5,000",JR 코세이선 시가역→버스10분→로프웨이
